date,truck_id,distance_km
2026-05-03,Canter KCG 149N,35.69
2026-05-03,FH KBP 764X,150.67
2026-05-03,FRR KDA 021R,398.31
2026-05-03,FRR KDL 166P,134.07
2026-05-03,FUSO KCU 662N,124.50
2026-05-03,Fuso KDR 832J,257.97
2026-05-03,Hilux KCS 029Q,0.02
2026-05-03,Hino KDJ 423S,143.98
2026-05-03,Isuzu KDW 498R,436.85
2026-05-03,NKR KDA 089J,316.95
2026-05-03,Probox KDG 749M,288.42
2026-05-03,Probox KDL 730Y,30.83
2026-05-03,Tata KDE 169F,290.44
2026-05-03,Tvs KMGL 282K,241.03
2026-05-04,Canter KCG 149N,446.25
2026-05-04,FH KBP 764X,167.33
2026-05-04,FRR KDA 021R,198.93
2026-05-04,FRR KDL 166P,440.87
2026-05-04,FUSO KCU 662N,51.75
2026-05-04,Fuso KDR 832J,262.65
2026-05-04,Hilux KCS 029Q,1.36
2026-05-04,Hino KDJ 423S,239.53
2026-05-04,Isuzu KDW 498R,268.34
2026-05-04,NKR KDA 089J,293.25
2026-05-04,Probox KDG 749M,137.59
2026-05-04,Probox KDL 730Y,198.65
2026-05-04,Tata KDE 169F,286.30
2026-05-04,Tvs KMGL 282K,291.83
2026-05-05,Canter KCG 149N,313.68
2026-05-05,FH KBP 764X,101.17
2026-05-05,FRR KDA 021R,194.36
2026-05-05,FRR KDL 166P,275.05
2026-05-05,FUSO KCU 662N,126.47
2026-05-05,Fuso KDR 832J,199.48
2026-05-05,Hilux KCS 029Q,0.12
2026-05-05,Hino KDJ 423S,270.13
2026-05-05,Isuzu KDW 498R,421.02
2026-05-05,NKR KDA 089J,243.17
2026-05-05,Probox KDG 749M,371.55
2026-05-05,Probox KDL 730Y,133.06
2026-05-05,Tata KDE 169F,282.23
2026-05-05,Tvs KMGL 282K,0.00
2026-05-06,Canter KCG 149N,360.53
2026-05-06,FH KBP 764X,271.87
2026-05-06,FRR KDA 021R,473.23
2026-05-06,FRR KDL 166P,486.97
2026-05-06,FUSO KCU 662N,15.88
2026-05-06,Fuso KDR 832J,332.36
2026-05-06,Hilux KCS 029Q,0.00
2026-05-06,Hino KDJ 423S,290.98
2026-05-06,Isuzu KDW 498R,264.98
2026-05-06,NKR KDA 089J,115.18
2026-05-06,Probox KDG 749M,268.85
2026-05-06,Probox KDL 730Y,130.88
2026-05-06,Tata KDE 169F,324.77
2026-05-06,Tvs KMGL 282K,0.00
2026-05-07,Canter KCG 149N,336.19
2026-05-07,FH KBP 764X,159.13
2026-05-07,FRR KDA 021R,557.06
2026-05-07,FRR KDL 166P,570.99
2026-05-07,FUSO KCU 662N,0.17
2026-05-07,Fuso KDR 832J,282.66
2026-05-07,Hilux KCS 029Q,0.79
2026-05-07,Hino KDJ 423S,204.00
2026-05-07,Isuzu KDW 498R,125.13
2026-05-07,NKR KDA 089J,403.13
2026-05-07,Probox KDG 749M,343.74
2026-05-07,Probox KDL 730Y,157.98
2026-05-07,Tata KDE 169F,437.28
2026-05-07,Tvs KMGL 282K,117.21
2026-05-08,Canter KCG 149N,368.58
2026-05-08,FH KBP 764X,196.67
2026-05-08,FRR KDA 021R,278.04
2026-05-08,FRR KDL 166P,457.07
2026-05-08,FUSO KCU 662N,91.20
2026-05-08,Fuso KDR 832J,338.88
2026-05-08,Hilux KCS 029Q,37.41
2026-05-08,Hino KDJ 423S,72.74
2026-05-08,Isuzu KDW 498R,174.04
2026-05-08,NKR KDA 089J,358.13
2026-05-08,Probox KDG 749M,323.28
2026-05-08,Probox KDL 730Y,224.86
2026-05-08,Tata KDE 169F,129.80
2026-05-08,Tvs KMGL 282K,179.71
2026-05-09,Canter KCG 149N,168.55
2026-05-09,FH KBP 764X,33.57
2026-05-09,FRR KDA 021R,174.93
2026-05-09,FRR KDL 166P,502.43
2026-05-09,FUSO KCU 662N,11.03
2026-05-09,Fuso KDR 832J,241.36
2026-05-09,Hilux KCS 029Q,162.21
2026-05-09,Hino KDJ 423S,172.87
2026-05-09,Isuzu KDW 498R,217.03
2026-05-09,NKR KDA 089J,178.39
2026-05-09,Probox KDG 749M,142.38
2026-05-09,Probox KDL 730Y,7.20
2026-05-09,Tata KDE 169F,184.22
2026-05-09,Tvs KMGL 282K,297.64
2026-05-10,Canter KCG 149N,274.43
2026-05-10,FH KBP 764X,239.71
2026-05-10,FRR KDA 021R,65.83
2026-05-10,FRR KDL 166P,0.73
2026-05-10,FUSO KCU 662N,113.86
2026-05-10,Fuso KDR 832J,356.03
2026-05-10,Hilux KCS 029Q,36.56
2026-05-10,Hino KDJ 423S,180.26
2026-05-10,Isuzu KDW 498R,351.16
2026-05-10,NKR KDA 089J,5.49
2026-05-10,Probox KDG 749M,12.92
2026-05-10,Probox KDL 730Y,89.30
2026-05-10,Tata KDE 169F,663.96
2026-05-10,Tvs KMGL 282K,76.16
2026-05-19,Canter KCG 149N,192.33
2026-05-19,FH KBP 764X,257.83
2026-05-19,FRR KDA 021R,268.83
2026-05-19,FRR KDL 166P,167.14
2026-05-19,FUSO KCU 662N,104.14
2026-05-19,Fuso KDR 832J,313.74
2026-05-19,Hilux KCS 029Q,116.17
2026-05-19,Hino KDJ 423S,162.20
2026-05-19,Isuzu KDW 498R,257.31
2026-05-19,NKR KDA 089J,147.66
2026-05-19,Probox KDG 749M,209.97
2026-05-19,Probox KDL 730Y,0.00
2026-05-19,Tata KDE 169F,365.06
2026-05-19,Tvs KMGL 282K,292.20
2026-05-20,Canter KCG 149N,383.70
2026-05-20,FH KBP 764X,207.37
2026-05-20,FRR KDA 021R,326.75
2026-05-20,FRR KDL 166P,105.26
2026-05-20,FUSO KCU 662N,186.41
2026-05-20,Fuso KDR 832J,233.34
2026-05-20,Hilux KCS 029Q,254.65
2026-05-20,Hino KDJ 423S,1.69
2026-05-20,Isuzu KDW 498R,271.20
2026-05-20,NKR KDA 089J,193.03
2026-05-20,Probox KDG 749M,157.74
2026-05-20,Probox KDL 730Y,292.22
2026-05-20,Tata KDE 169F,233.76
2026-05-20,Tvs KMGL 282K,339.32
2026-05-21,Canter KCG 149N,371.08
2026-05-21,FH KBP 764X,249.41
2026-05-21,FRR KDA 021R,8.24
2026-05-21,FRR KDL 166P,0.20
2026-05-21,FUSO KCU 662N,149.37
2026-05-21,Fuso KDR 832J,266.69
2026-05-21,Hilux KCS 029Q,230.90
2026-05-21,Hino KDJ 423S,0.04
2026-05-21,Isuzu KDW 498R,251.01
2026-05-21,NKR KDA 089J,284.35
2026-05-21,Probox KDG 749M,411.84
2026-05-21,Probox KDL 730Y,101.72
2026-05-21,Tata KDE 169F,146.20
2026-05-21,Tvs KMGL 282K,420.73
2026-05-22,Canter KCG 149N,405.66
2026-05-22,FH KBP 764X,213.13
2026-05-22,FRR KDA 021R,240.65
2026-05-22,FRR KDL 166P,193.32
2026-05-22,FUSO KCU 662N,192.08
2026-05-22,Fuso KDR 832J,313.31
2026-05-22,Hilux KCS 029Q,118.62
2026-05-22,Hino KDJ 423S,0.01
2026-05-22,Isuzu KDW 498R,218.48
2026-05-22,NKR KDA 089J,100.37
2026-05-22,Probox KDG 749M,249.55
2026-05-22,Probox KDL 730Y,68.22
2026-05-22,Tata KDE 169F,212.40
2026-05-22,Tvs KMGL 282K,98.78
2026-05-23,Canter KCG 149N,462.52
2026-05-23,FH KBP 764X,240.31
2026-05-23,FRR KDA 021R,298.37
2026-05-23,FRR KDL 166P,205.37
2026-05-23,FUSO KCU 662N,185.80
2026-05-23,Fuso KDR 832J,252.85
2026-05-23,Hilux KCS 029Q,104.72
2026-05-23,Hino KDJ 423S,1.71
2026-05-23,Isuzu KDW 498R,231.71
2026-05-23,NKR KDA 089J,346.72
2026-05-23,Probox KDG 749M,126.62
2026-05-23,Probox KDL 730Y,0.00
2026-05-23,Tata KDE 169F,130.92
2026-05-23,Tvs KMGL 282K,105.91
2026-05-24,Canter KCG 149N,201.35
2026-05-24,FH KBP 764X,0.25
2026-05-24,FRR KDA 021R,357.58
2026-05-24,FRR KDL 166P,72.69
2026-05-24,FUSO KCU 662N,0.19
2026-05-24,Fuso KDR 832J,6.60
2026-05-24,Hilux KCS 029Q,63.13
2026-05-24,Hino KDJ 423S,2.72
2026-05-24,Isuzu KDW 498R,404.32
2026-05-24,NKR KDA 089J,268.10
2026-05-24,Probox KDG 749M,224.89
2026-05-24,Probox KDL 730Y,29.87
2026-05-24,Tata KDE 169F,231.73
2026-05-24,Tvs KMGL 282K,24.75
2026-05-25,Canter KCG 149N,392.32
2026-05-25,FH KBP 764X,137.01
2026-05-25,FRR KDA 021R,476.33
2026-05-25,FRR KDL 166P,360.76
2026-05-25,FUSO KCU 662N,0.00
2026-05-25,Fuso KDR 832J,162.27
2026-05-25,Hilux KCS 029Q,210.22
2026-05-25,Hino KDJ 423S,90.62
2026-05-25,Isuzu KDW 498R,315.39
2026-05-25,NKR KDA 089J,252.47
2026-05-25,Probox KDG 749M,189.50
2026-05-25,Probox KDL 730Y,272.70
2026-05-25,Tata KDE 169F,338.25
2026-05-25,Tvs KMGL 282K,83.40
2026-05-26,Canter KCG 149N,371.15
2026-05-26,FH KBP 764X,197.97
2026-05-26,FRR KDA 021R,530.01
2026-05-26,FRR KDL 166P,392.55
2026-05-26,FUSO KCU 662N,0.07
2026-05-26,Fuso KDR 832J,244.83
2026-05-26,Hilux KCS 029Q,337.98
2026-05-26,Hino KDJ 423S,210.49
2026-05-26,Isuzu KDW 498R,381.16
2026-05-26,NKR KDA 089J,431.85
2026-05-26,Probox KDG 749M,26.89
2026-05-26,Probox KDL 730Y,165.62
2026-05-26,Tata KDE 169F,241.54
2026-05-26,Tvs KMGL 282K,0.00
2026-05-27,Canter KCG 149N,371.79
2026-05-27,FH KBP 764X,4.62
2026-05-27,FRR KDA 021R,399.55
2026-05-27,FRR KDL 166P,392.20
2026-05-27,FUSO KCU 662N,147.96
2026-05-27,Fuso KDR 832J,281.75
2026-05-27,Hilux KCS 029Q,23.70
2026-05-27,Hino KDJ 423S,161.39
2026-05-27,Isuzu KDW 498R,202.98
2026-05-27,NKR KDA 089J,352.96
2026-05-27,Probox KDG 749M,39.10
2026-05-27,Probox KDL 730Y,146.18
2026-05-27,Tata KDE 169F,189.44
2026-05-27,Tvs KMGL 282K,196.68
2026-05-28,Canter KCG 149N,423.24
2026-05-28,FH KBP 764X,35.94
2026-05-28,FRR KDA 021R,116.43
2026-05-28,FRR KDL 166P,270.27
2026-05-28,FUSO KCU 662N,152.66
2026-05-28,Fuso KDR 832J,267.90
2026-05-28,Hilux KCS 029Q,31.62
2026-05-28,Hino KDJ 423S,267.84
2026-05-28,Isuzu KDW 498R,388.65
2026-05-28,NKR KDA 089J,117.94
2026-05-28,Probox KDG 749M,621.36
2026-05-28,Probox KDL 730Y,176.49
2026-05-28,Tata KDE 169F,452.83
2026-05-28,Tvs KMGL 282K,123.48
2026-05-29,Canter KCG 149N,303.77
2026-05-29,FH KBP 764X,195.46
2026-05-29,FRR KDA 021R,178.55
2026-05-29,FRR KDL 166P,364.73
2026-05-29,FUSO KCU 662N,77.57
2026-05-29,Fuso KDR 832J,251.56
2026-05-29,Hilux KCS 029Q,178.03
2026-05-29,Hino KDJ 423S,235.11
2026-05-29,Isuzu KDW 498R,137.19
2026-05-29,NKR KDA 089J,302.12
2026-05-29,Probox KDG 749M,422.17
2026-05-29,Probox KDL 730Y,104.78
2026-05-29,Tata KDE 169F,203.50
2026-05-29,Tvs KMGL 282K,273.25
2026-05-30,Canter KCG 149N,178.90
2026-05-30,FH KBP 764X,234.14
2026-05-30,FRR KDA 021R,385.10
2026-05-30,FRR KDL 166P,317.04
2026-05-30,FUSO KCU 662N,23.30
2026-05-30,Fuso KDR 832J,151.31
2026-05-30,Hilux KCS 029Q,139.97
2026-05-30,Hino KDJ 423S,152.92
2026-05-30,Isuzu KDW 498R,247.64
2026-05-30,NKR KDA 089J,333.66
2026-05-30,Probox KDG 749M,442.62
2026-05-30,Probox KDL 730Y,58.06
2026-05-30,Tata KDE 169F,229.18
2026-05-30,Tvs KMGL 282K,127.68
Canter-KCG-149N,2026-06-25,168.05
FH-KBP-764X,2026-06-25,138.59
FRR-KDA-021R,2026-06-25,1.05
FRR-KDL-166P,2026-06-25,227.46
FUSO-KCU-662N,2026-06-25,0.13
Fuso-KDR-832J,2026-06-25,0
Hilux-KCS-029Q,2026-06-25,0.04
Hino-KDJ-423S,2026-06-25,150.18
Isuzu-KDW-498R,2026-06-25,105.03
NKR-KDA-089J,2026-06-25,262.31
Probox-KDG-749M,2026-06-25,1.1
Probox-KDL-730Y,2026-06-25,99.66
Tata-KDE-169F,2026-06-25,205.16
Tvs-KMGL-282K,2026-06-25,64.24
2026-06-11,Canter-KCG-149N,384.72
2026-06-11,FH-KBP-764X,139.22
2026-06-11,FRR-KDA-021R,172.42
2026-06-11,FRR-KDL-166P,323.99
2026-06-11,FUSO-KCU-662N,74.29
2026-06-11,Fuso-KDR-832J,0
2026-06-11,Hilux-KCS-029Q,239.05
2026-06-11,Hino-KDJ-423S,153.37
2026-06-11,Isuzu-KDW-498R,205.67
2026-06-11,NKR-KDA-089J,248.01
2026-06-11,Probox-KDG-749M,276.4
2026-06-11,Probox-KDL-730Y,152.71
2026-06-11,Tata-KDE-169F,152.61
2026-06-11,Tvs-KMGL-282K,22.28
2026-06-12,Canter-KCG-149N,313.3
2026-06-12,FH-KBP-764X,212.76
2026-06-12,FRR-KDA-021R,379.12
2026-06-12,FRR-KDL-166P,82.23
2026-06-12,FUSO-KCU-662N,87.89
2026-06-12,Fuso-KDR-832J,0
2026-06-12,Hilux-KCS-029Q,298.27
2026-06-12,Hino-KDJ-423S,237.75
2026-06-12,Isuzu-KDW-498R,175.54
2026-06-12,NKR-KDA-089J,132.77
2026-06-12,Probox-KDG-749M,302.13
2026-06-12,Probox-KDL-730Y,0
2026-06-12,Tata-KDE-169F,125.08
2026-06-12,Tvs-KMGL-282K,232.91
2026-06-13,Canter-KCG-149N,145.54
2026-06-13,FH-KBP-764X,235.29
2026-06-13,FRR-KDA-021R,234.53
2026-06-13,FRR-KDL-166P,516.55
2026-06-13,FUSO-KCU-662N,63.18
2026-06-13,Fuso-KDR-832J,0
2026-06-13,Hilux-KCS-029Q,263.89
2026-06-13,Hino-KDJ-423S,144.6
2026-06-13,Isuzu-KDW-498R,264.46
2026-06-13,NKR-KDA-089J,292.94
2026-06-13,Probox-KDG-749M,0
2026-06-13,Probox-KDL-730Y,0
2026-06-13,Tata-KDE-169F,216.21
2026-06-13,Tvs-KMGL-282K,52.22
2026-06-14,Canter-KCG-149N,227.29
2026-06-14,FH-KBP-764X,214.61
2026-06-14,FRR-KDA-021R,0
2026-06-14,FRR-KDL-166P,256.91
2026-06-14,FUSO-KCU-662N,113.11
2026-06-14,Fuso-KDR-832J,0
2026-06-14,Hilux-KCS-029Q,105.56
2026-06-14,Hino-KDJ-423S,194.18
2026-06-14,Isuzu-KDW-498R,318.64
2026-06-14,NKR-KDA-089J,198.87
2026-06-14,Probox-KDG-749M,10.19
2026-06-14,Probox-KDL-730Y,34.45
2026-06-14,Tata-KDE-169F,0.02
2026-06-14,Tvs-KMGL-282K,0
2026-06-15,Canter-KCG-149N,285.6
2026-06-15,FH-KBP-764X,201.76
2026-06-15,FRR-KDA-021R,8.67
2026-06-15,FRR-KDL-166P,254.47
2026-06-15,FUSO-KCU-662N,118.12
2026-06-15,Fuso-KDR-832J,0
2026-06-15,Hilux-KCS-029Q,185.18
2026-06-15,Hino-KDJ-423S,254.64
2026-06-15,Isuzu-KDW-498R,237.27
2026-06-15,NKR-KDA-089J,450.05
2026-06-15,Probox-KDG-749M,203.76
2026-06-15,Probox-KDL-730Y,240.34
2026-06-15,Tata-KDE-169F,261.51
2026-06-15,Tvs-KMGL-282K,363.89
2026-06-16,Canter-KCG-149N,403.54
2026-06-16,FH-KBP-764X,215.05
2026-06-16,FRR-KDA-021R,196.42
2026-06-16,FRR-KDL-166P,250.27
2026-06-16,FUSO-KCU-662N,47.21
2026-06-16,Fuso-KDR-832J,0
2026-06-16,Hilux-KCS-029Q,7.69
2026-06-16,Hino-KDJ-423S,221.53
2026-06-16,Isuzu-KDW-498R,225.75
2026-06-16,NKR-KDA-089J,361.76
2026-06-16,Probox-KDG-749M,79.95
2026-06-16,Probox-KDL-730Y,170.85
2026-06-16,Tata-KDE-169F,284.14
2026-06-16,Tvs-KMGL-282K,0
2026-06-17,Canter-KCG-149N,0.42
2026-06-17,FH-KBP-764X,238.86
2026-06-17,FRR-KDA-021R,578.72
2026-06-17,FRR-KDL-166P,247.24
2026-06-17,FUSO-KCU-662N,93.19
2026-06-17,Fuso-KDR-832J,0
2026-06-17,Hilux-KCS-029Q,17.91
2026-06-17,Hino-KDJ-423S,132.31
2026-06-17,Isuzu-KDW-498R,276.85
2026-06-17,NKR-KDA-089J,404
2026-06-17,Probox-KDG-749M,200.02
2026-06-17,Probox-KDL-730Y,159
2026-06-17,Tata-KDE-169F,155.96
2026-06-17,Tvs-KMGL-282K,473.13
2026-06-18,Canter-KCG-149N,311.29
2026-06-18,FH-KBP-764X,236.26
2026-06-18,FRR-KDA-021R,318.4
2026-06-18,FRR-KDL-166P,27.68
2026-06-18,FUSO-KCU-662N,154.06
2026-06-18,Fuso-KDR-832J,0
2026-06-18,Hilux-KCS-029Q,271.5
2026-06-18,Hino-KDJ-423S,222
2026-06-18,Isuzu-KDW-498R,246.22
2026-06-18,NKR-KDA-089J,24.01
2026-06-18,Probox-KDG-749M,200.08
2026-06-18,Probox-KDL-730Y,123.03
2026-06-18,Tata-KDE-169F,130.56
2026-06-18,Tvs-KMGL-282K,303.4
2026-06-19,Canter-KCG-149N,269.59
2026-06-19,FH-KBP-764X,245.94
2026-06-19,FRR-KDA-021R,7.62
2026-06-19,FRR-KDL-166P,226.31
2026-06-19,FUSO-KCU-662N,109.64
2026-06-19,Fuso-KDR-832J,0
2026-06-19,Hilux-KCS-029Q,63.01
2026-06-19,Hino-KDJ-423S,230.1
2026-06-19,Isuzu-KDW-498R,224.39
2026-06-19,NKR-KDA-089J,21.64
2026-06-19,Probox-KDG-749M,335.98
2026-06-19,Probox-KDL-730Y,31.28
2026-06-19,Tata-KDE-169F,0.12
2026-06-19,Tvs-KMGL-282K,80.12
2026-06-20,Canter-KCG-149N,217.33
2026-06-20,FH-KBP-764X,127.99
2026-06-20,FRR-KDA-021R,256.06
2026-06-20,FRR-KDL-166P,266.04
2026-06-20,FUSO-KCU-662N,0.01
2026-06-20,Fuso-KDR-832J,0
2026-06-20,Hilux-KCS-029Q,9.09
2026-06-20,Hino-KDJ-423S,148.23
2026-06-20,Isuzu-KDW-498R,143.26
2026-06-20,NKR-KDA-089J,350.29
2026-06-20,Probox-KDG-749M,73.47
2026-06-20,Probox-KDL-730Y,56.88
2026-06-20,Tata-KDE-169F,164.03
2026-06-20,Tvs-KMGL-282K,403.17
2026-06-21,Canter-KCG-149N,219.11
2026-06-21,FH-KBP-764X,38.02
2026-06-21,FRR-KDA-021R,195.29
2026-06-21,FRR-KDL-166P,179.75
2026-06-21,FUSO-KCU-662N,1.59
2026-06-21,Fuso-KDR-832J,0
2026-06-21,Hilux-KCS-029Q,23.23
2026-06-21,Hino-KDJ-423S,227.84
2026-06-21,Isuzu-KDW-498R,187.87
2026-06-21,NKR-KDA-089J,325.25
2026-06-21,Probox-KDG-749M,30.08
2026-06-21,Probox-KDL-730Y,94.39
2026-06-21,Tata-KDE-169F,202.36
2026-06-21,Tvs-KMGL-282K,25.47
2026-06-22,Canter-KCG-149N,371.08
2026-06-22,FH-KBP-764X,122.26
2026-06-22,FRR-KDA-021R,277.75
2026-06-22,FRR-KDL-166P,245.22
2026-06-22,FUSO-KCU-662N,193.8
2026-06-22,Fuso-KDR-832J,0
2026-06-22,Hilux-KCS-029Q,299.1
2026-06-22,Hino-KDJ-423S,150.14
2026-06-22,Isuzu-KDW-498R,237.94
2026-06-22,NKR-KDA-089J,254.92
2026-06-22,Probox-KDG-749M,116.61
2026-06-22,Probox-KDL-730Y,185.31
2026-06-22,Tata-KDE-169F,166.97
2026-06-22,Tvs-KMGL-282K,40.45
2026-06-23,Canter-KCG-149N,309.51
2026-06-23,FH-KBP-764X,95.83
2026-06-23,FRR-KDA-021R,194.71
2026-06-23,FRR-KDL-166P,222.27
2026-06-23,FUSO-KCU-662N,36.53
2026-06-23,Fuso-KDR-832J,0
2026-06-23,Hilux-KCS-029Q,104.88
2026-06-23,Hino-KDJ-423S,192.34
2026-06-23,Isuzu-KDW-498R,73.64
2026-06-23,NKR-KDA-089J,394.27
2026-06-23,Probox-KDG-749M,318.92
2026-06-23,Probox-KDL-730Y,174.8
2026-06-23,Tata-KDE-169F,146.8
2026-06-23,Tvs-KMGL-282K,0
2026-06-24,Canter-KCG-149N,346.67
2026-06-24,FH-KBP-764X,107.43
2026-06-24,FRR-KDA-021R,305.65
2026-06-24,FRR-KDL-166P,370.23
2026-06-24,FUSO-KCU-662N,157.34
2026-06-24,Fuso-KDR-832J,0
2026-06-24,Hilux-KCS-029Q,165.79
2026-06-24,Hino-KDJ-423S,216.65
2026-06-24,Isuzu-KDW-498R,285.42
2026-06-24,NKR-KDA-089J,282.2
2026-06-24,Probox-KDG-749M,157.88
2026-06-24,Probox-KDL-730Y,69.04
2026-06-24,Tata-KDE-169F,130.72
2026-06-24,Tvs-KMGL-282K,225.42
2026-06-25,Canter-KCG-149N,168.05
2026-06-25,FH-KBP-764X,138.59
2026-06-25,FRR-KDA-021R,1.05
2026-06-25,FRR-KDL-166P,227.46
2026-06-25,FUSO-KCU-662N,0.13
2026-06-25,Fuso-KDR-832J,0
2026-06-25,Hilux-KCS-029Q,0.04
2026-06-25,Hino-KDJ-423S,150.18
2026-06-25,Isuzu-KDW-498R,105.03
2026-06-25,NKR-KDA-089J,262.31
2026-06-25,Probox-KDG-749M,1.1
2026-06-25,Probox-KDL-730Y,99.66
2026-06-25,Tata-KDE-169F,205.16
2026-06-25,Tvs-KMGL-282K,64.24
2026-06-26,Canter-KCG-149N,450.67
2026-06-26,FH-KBP-764X,90.71
2026-06-26,FRR-KDA-021R,246.01
2026-06-26,FRR-KDL-166P,366.21
2026-06-26,FUSO-KCU-662N,35.83
2026-06-26,Fuso-KDR-832J,0
2026-06-26,Hilux-KCS-029Q,127.8
2026-06-26,Hino-KDJ-423S,189.43
2026-06-26,Isuzu-KDW-498R,116.56
2026-06-26,NKR-KDA-089J,235.67
2026-06-26,Probox-KDG-749M,118.67
2026-06-26,Probox-KDL-730Y,54.77
2026-06-26,Tata-KDE-169F,222.09
2026-06-26,Tvs-KMGL-282K,552.67
2026-06-27,Canter-KCG-149N,316.27
2026-06-27,FH-KBP-764X,169.73
2026-06-27,FRR-KDA-021R,181.52
2026-06-27,FRR-KDL-166P,412.42
2026-06-27,FUSO-KCU-662N,163.85
2026-06-27,Fuso-KDR-832J,0
2026-06-27,Hilux-KCS-029Q,317.15
2026-06-27,Hino-KDJ-423S,150.28
2026-06-27,Isuzu-KDW-498R,271.09
2026-06-27,NKR-KDA-089J,200.8
2026-06-27,Probox-KDG-749M,150.12
2026-06-27,Probox-KDL-730Y,46.56
2026-06-27,Tata-KDE-169F,328.07
2026-06-27,Tvs-KMGL-282K,35.79
